CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
50046621,YOSHI TRADITIONAL JAPANESE,BROOKLYN,5827,AVENUE T,11234,7189688881,Japanese,03/31/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,2,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50010296,TACO KING,QUEENS,25631,UNION TPKE,11004,7183438886,Tex-Mex,05/19/2015,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,8,A,05/19/2015,08/28/2017,Cycle Inspection / Initial Inspection
41094546,PEOPLES CHOICE KITCHEN,MANHATTAN,2733,8 AVENUE,10039,2122813830,Caribbean,04/22/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,04/22/2014,08/28/2017,Cycle Inspection / Re-inspection
40977390,THE JOHN J O'CONNOR RESIDENCE,BRONX,5655,ARLINGTON AVENUE,10471,7185810453,American,02/25/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,27,A,02/25/2015,08/28/2017,Cycle Inspection / Initial Inspection
41025084,BRASS MONKEY,MANHATTAN,55,LITTLE WEST 12 STREET,10014,2126756686,American,09-04-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9,A,09-04-14,08/28/2017,Cycle Inspection / Re-inspection
41717895,LOON CHUAN RESTAURANT,STATEN ISLAND,85,PAGE AVENUE,10309,7189679819,Chinese,01/19/2017,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,19,,,08/28/2017,Cycle Inspection / Initial Inspection
41250498,NO. 1 CHINESE RESTAURANT,BRONX,7,WEST TREMONT AVENUE,10453,7182945294,Chinese,01/22/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,08/28/2017,Cycle Inspection / Initial Inspection
50002268,DUNKIN' DONUTS,QUEENS,188-23,UNION TURNPIKE,11366,3475484154,Donuts,02/28/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,,08/28/2017,Cycle Inspection / Initial Inspection
40400129,LA CARIDAD RESTAURANT,MANHATTAN,2092,AMSTERDAM AVENUE,10032,2129237648,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",06/29/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,C,06/29/2015,08/28/2017,Cycle Inspection / Re-inspection
50011559,NEW CITY,BROOKLYN,236,KNICKERBOCKER AVE,11237,7184178333,Chinese,01-08-15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,,,08/28/2017,Cycle Inspection / Initial Inspection
50001817,NATHAN'S FAMOUS,BROOKLYN,650,86TH ST,11228,7182385232,Hotdogs,12/28/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/28/2016,08/28/2017,Cycle Inspection / Initial Inspection
41318801,CHARLOTTE RESTAURANT BAR & LOUNGE,MANHATTAN,145,WEST 44 STREET,10036,2127684400,American,08-06-13,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11,,,08/28/2017,Cycle Inspection / Initial Inspection
50032779,VAN LEEUWEN ARTISAN ICE CREAM,MANHATTAN,181,WAVERLY PL,10014,9174751448,CafÃ©/Coffee/Tea,03/23/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50002749,SANTA ANA DELI & GROCERY,BROOKLYN,171,IRVING AVE,11237,7186284691,Mexican,01/20/2016,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,9,,,08/28/2017,Cycle Inspection / Initial Inspection
41122178,PORT ROYAL JAMAICAN RESTAURANT,QUEENS,11307,SUTPHIN BOULEVARD,11435,7183236611,Caribbean,05-03-16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,05-03-16,08/28/2017,Cycle Inspection / Re-inspection
41244008,THE STONEWALL INN,MANHATTAN,53,CHRISTOPHER STREET,10014,2124882705,American,03-03-14,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,,,08/28/2017,Cycle Inspection / Initial Inspection
41313451,"DUNKIN' DONUTS, BASKIN ROBBINS",MANHATTAN,476,2 AVENUE,10016,2126842173,Donuts,08/19/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,,,08/28/2017,Cycle Inspection / Initial Inspection
41318348,SOCARRAT (PAELLA BAR AND WINE BAR),MANHATTAN,259,WEST   19 STREET,10011,2124621000,Spanish,02/22/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,4,A,02/22/2016,08/28/2017,Cycle Inspection / Re-inspection
41457451,COPPOLA'S,MANHATTAN,206,WEST   79 STREET,10024,2128773840,Italian,10/28/2014,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,21,,,08/28/2017,Cycle Inspection / Initial Inspection
40797452,SUSHI SAMBA #7,MANHATTAN,87,7 AVENUE SOUTH,10014,2126917885,Japanese,07/15/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,07/15/2015,08/28/2017,Cycle Inspection / Initial Inspection
40996365,POPEYES LOUISIANA KITCHEN,MANHATTAN,75,LEXINGTON AVENUE,10010,2127257033,Chicken,06/20/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,105,A,06/20/2017,08/28/2017,Cycle Inspection / Initial Inspection
50004389,ROXY DINER,MANHATTAN,694,8TH AVE,10036,2125759700,American,04/28/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,A,04/28/2015,08/28/2017,Cycle Inspection / Initial Inspection
50037651,SABOR TROPICAL,MANHATTAN,143,SHERMAN AVE,10034,2123045144,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",09-01-16,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,36,B,09-01-16,08/28/2017,Cycle Inspection / Re-inspection
41249167,UNCLE CHARLIE,MANHATTAN,139,EAST 45 STREET,10017,6464769532,American,06-04-14,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,5,,,08/28/2017,Cycle Inspection / Initial Inspection
40560927,IGGY'S,MANHATTAN,1452,2 AVENUE,10021,2123273043,American,04/16/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,14,,,08/28/2017,Cycle Inspection / Initial Inspection
50004608,PASTORA RESTAURANT PIZZERIA,BRONX,967,E 167TH ST,10459,7188421700,Spanish,01/26/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,25,C,01/26/2017,08/28/2017,Cycle Inspection / Re-inspection
40941320,TAAM MEVORACH,BROOKLYN,815,AVENUE U,11223,7183363368,Jewish/Kosher,05-10-17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,35,A,05-10-17,08/28/2017,Cycle Inspection / Initial Inspection
50043804,JFK PIZZERIA,QUEENS,14621,ROCKAWAY BLVD,11436,7185292400,Italian,12/14/2015,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,7,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
41274069,OCEAN CHINESE RESTAURANT,QUEENS,24510,HORACE HARDING EXPRESSWAY,11362,7182798893,Chinese,04/17/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,29,A,04/17/2017,08/28/2017,Cycle Inspection / Initial Inspection
41631838,KONDITORI,BROOKLYN,167,NORTH    7 STREET,11211,3475294803,CafÃ©/Coffee/Tea,07-09-14,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,100,,,08/28/2017,Cycle Inspection / Initial Inspection
41595439,2 BROS PIZZA,BROOKLYN,395,FLATBUSH AVENUE EXTENSION,11201,7187970336,Pizza,12/16/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,A,12/16/2014,08/28/2017,Cycle Inspection / Re-inspection
50037976,MOM'S PIZZA,MANHATTAN,15,AVENUE D,10009,2127773434,American,09-10-15,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,9,B,09-10-15,08/28/2017,Pre-permit (Operational) / Re-inspection
40664052,CIRCA TABAC,MANHATTAN,32,WATTS STREET,10013,2129411781,American,03/31/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,03/31/2017,08/28/2017,Cycle Inspection / Initial Inspection
50010022,UNION BAR & KITCHEN,MANHATTAN,300,SPRING ST,10013,6467910005,American,07-01-14,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
41391795,DREXLER'S,MANHATTAN,9,AVENUE A,10009,6465245226,American,03-08-16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,20,B,03-08-16,08/28/2017,Cycle Inspection / Re-inspection
50033930,NEW CHINA TACO,QUEENS,7419,METROPOLITAN AVE,11379,7184168888,Tex-Mex,06-12-17,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,20,,,08/28/2017,Cycle Inspection / Initial Inspection
41170917,POKE RESTAURANT,MANHATTAN,343,EAST 85 STREET,10028,2122490569,Japanese,08-10-17,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,39,,,08/28/2017,Cycle Inspection / Initial Inspection
41382445,POPEYES LOUISIANA KITCHEN,QUEENS,1426,CORNAGA AVE,11691,7183274754,Chicken,07-07-15,Violations were cited in the following area(s).,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,48,,,08/28/2017,Administrative Miscellaneous / Re-inspection
50053105,KENNEDY FRIED CHICKEN,BROOKLYN,433,DEKALB AVE,11205,7186229088,Chicken,07/21/2016,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,30,,,08/28/2017,Pre-permit (Operational) / Initial Inspection
50004863,HUNGRY GHOST COFFEE BAR AT FULTON,BROOKLYN,781,FULTON ST,11217,7187973595,CafÃ©/Coffee/Tea,08/19/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,,,08/28/2017,Cycle Inspection / Initial Inspection
50034549,EMPANADAS MONUMENTAL,MANHATTAN,1344,AMSTERDAM AVE,10027,2129331663,Spanish,11/30/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,,,08/28/2017,Cycle Inspection / Initial Inspection
40511702,NOTARO RESTAURANT,MANHATTAN,635,SECOND AVENUE,10016,2126863400,Italian,12/15/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,B,12/15/2016,08/28/2017,Cycle Inspection / Re-inspection
41154194,NATURALLY DELICIOUS CATERERS,BROOKLYN,487,COURT STREET,11231,7182373727,American,07/28/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,73,A,07/28/2016,08/28/2017,Cycle Inspection / Initial Inspection
40423705,ZARO'S BAKERY,MANHATTAN,89,EAST   42 STREET,10017,2123767619,American,10/13/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,A,10/13/2016,08/28/2017,Cycle Inspection / Initial Inspection
50001189,CENT'ANNI,BROOKLYN,742,FRANKLIN AVE,11238,7189425201,Italian,10/26/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,25,,,08/28/2017,Cycle Inspection / Initial Inspection
50004057,UNITED MINERS SOCCER CLUB,QUEENS,3401,45TH ST,11101,7187865833,Eastern European,06/17/2014,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,B,06/17/2014,08/28/2017,Cycle Inspection / Re-inspection
40959591,BA XUYEN,BROOKLYN,4222,8 AVENUE,11232,7186336601,Vietnamese/Cambodian/Malaysia,03-01-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,,08/28/2017,Cycle Inspection / Initial Inspection
50013823,MAX FISH,MANHATTAN,120,ORCHARD ST,10002,9176506186,American,05-10-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,21,A,05-10-16,08/28/2017,Cycle Inspection / Initial Inspection
41265263,BAKEWAY NYC,QUEENS,2521,BROADWAY,11106,7185452120,Bakery,06/17/2014,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,,,08/28/2017,Cycle Inspection / Initial Inspection
50018042,MIUSA WINE BAR,BROOKLYN,98A,S 4TH ST,11249,7183870055,American,09/14/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,21,,,08/28/2017,Cycle Inspection / Initial Inspection
40740251,CAFE K,BROOKLYN,1111,AVENUE K,11230,7186773033,Jewish/Kosher,10/16/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,13,,,08/28/2017,Cycle Inspection / Initial Inspection
40577393,DON COQUI,QUEENS,2818,31 STREET,11102,7182747474,Spanish,06-12-14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,27,,,08/28/2017,Cycle Inspection / Initial Inspection
41618541,SPRING NATURAL KITCHEN,MANHATTAN,474,COLUMBUS AVENUE,10024,6465967434,American,09/25/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,,08/28/2017,Cycle Inspection / Initial Inspection
40618281,PASQUALE RIGOLETTO RESTAURANT,BRONX,2311,ARTHUR AVENUE,10458,7183656644,Italian,05-10-14,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,16,B,05-10-14,08/28/2017,Cycle Inspection / Re-inspection
40542345,TOWNE DELI & PIZZA,STATEN ISLAND,5373,ARTHUR KILL ROAD,10307,7182271985,Pizza,04-11-17,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,2,B,04-11-17,08/28/2017,Cycle Inspection / Re-inspection
41534020,MARK'S PIZZERIA,BROOKLYN,326,VAN BRUNT STREET,11231,7186241628,Pizza,09-08-14,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,09-08-14,08/28/2017,Cycle Inspection / Initial Inspection
50016180,JAGALCHI  SUSHI,QUEENS,3502,154TH ST,11354,7183590333,Chinese/Japanese,01-07-16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,,,08/28/2017,Cycle Inspection / Initial Inspection
50048897,GROUND CENTRAL COFFEE COMPANY,MANHATTAN,2,COENTIES SLIP,10004,2123440237,CafÃ©/Coffee/Tea,10/17/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35,A,10/17/2016,08/28/2017,Pre-permit (Operational) / Initial Inspection
41072927,RED HOOK BAIT AND TACKLE,BROOKLYN,320,VAN BRUNT ST,11231,7184514665,American,05/21/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,05/21/2015,08/28/2017,Cycle Inspection / Initial Inspection
41142640,MULINO,BROOKLYN,133,5 AVENUE,11217,7183989001,Italian,10/22/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,24,A,10/22/2014,08/28/2017,Cycle Inspection / Re-inspection
50036849,ENERGY FUEL,BROOKLYN,9522,4TH AVE,11209,7184918686,Sandwiches,09/26/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,,,08/28/2017,Cycle Inspection / Initial Inspection
41042881,SPECIAL ATTENTION,MANHATTAN,325,EAST HOUSTON STREET,10002,2124774805,American,12/14/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,A,12/14/2015,08/28/2017,Cycle Inspection / Initial Inspection
41080814,GOTTLIEB'S RESTAURANT,BROOKLYN,352,ROEBLING STREET,11211,7183846612,Jewish/Kosher,01-06-15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,B,01-06-15,08/28/2017,Cycle Inspection / Re-inspection
50018922,KOS SUSHI,MANHATTAN,208,3RD AVE,10003,2126776921,Japanese,08/20/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,,,08/28/2017,Cycle Inspection / Initial Inspection
41661062,PERCY'S PIZZA,MANHATTAN,190,BLEEKER STREET,10012,2123881355,Pizza,08/21/2014,No violations were recorded at the time of this inspection.,,,Not Applicable,18,,,08/28/2017,Cycle Inspection / Initial Inspection
41242190,FIASCHETTERIA,MANHATTAN,647,EAST 11 STREET,10009,2127773355,Mexican,09/27/2013,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,50,,,08/28/2017,Cycle Inspection / Initial Inspection
41056159,LA MASSERIA,MANHATTAN,235237,WEST   48 STREET,10036,2125822111,Italian,07/20/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,10,,,08/28/2017,Cycle Inspection / Initial Inspection
41587826,CASCABEL TAQUERIA,MANHATTAN,2799,BROADWAY,10025,2126651500,Mexican,10-12-16,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,35,,,08/28/2017,Cycle Inspection / Initial Inspection
41445689,SFOGLIA RESTAURANT,MANHATTAN,135,EAST   92 STREET,10128,2128311402,Italian,05-09-15,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,,,08/28/2017,Cycle Inspection / Initial Inspection
41618266,KISSENA CAFE,QUEENS,6004,KISSENA BOULEVARD,11355,7188860689,Chinese,02/25/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,A,02/25/2015,08/28/2017,Cycle Inspection / Initial Inspection
41163086,MED EAST BAKERY,BROOKLYN,7808,3 AVENUE,11209,7186800561,Bakery,12-11-13,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,12-11-13,08/28/2017,Cycle Inspection / Initial Inspection
50032855,SWEET TOOTH  & CATERING,BROOKLYN,376,MARCUS GARVEY BLVD,11221,7185742580,American,01/22/2016,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,12,A,01/22/2016,08/28/2017,Pre-permit (Operational) / Re-inspection
50000895,WAH SING,QUEENS,23119,MERRICK BLVD.,11413,7187126106,Chinese,03/14/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,14,,,08/28/2017,Cycle Inspection / Initial Inspection
50037419,BROOKLYN CAFE 1,BROOKLYN,1,BROOKDALE PLZ,11212,7184851111,CafÃ©/Coffee/Tea,10/14/2016,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26,A,10/14/2016,08/28/2017,Cycle Inspection / Initial Inspection
41586933,CARIBBEAN HUT,BRONX,651,ELTON AVENUE,10455,3475909557,Caribbean,04/27/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,,,08/28/2017,Cycle Inspection / Initial Inspection
40396053,CHICK-N-RIBS,BRONX,780,MORRIS PARK AVE,10462,7184092441,Chicken,09-09-14,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,09-09-14,08/28/2017,Cycle Inspection / Re-inspection
41690753,696 GOURMET DELI,MANHATTAN,696,3 AVENUE,10017,2124907115,American,07-07-16,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,,,08/28/2017,Cycle Inspection / Initial Inspection
41307517,CUE BAR,QUEENS,4518,BELL BOULEVARD,11361,7186312646,American,03-08-17,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,16,,,08/28/2017,Cycle Inspection / Initial Inspection
50048204,ANTIQUE CAFE,MANHATTAN,150,E 58TH ST,10155,6464227765,American,07-01-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,35,A,07-01-16,08/28/2017,Pre-permit (Operational) / Re-inspection
41648700,LITTLE SHEEP MONGOLIAN HOT POT,QUEENS,13659,37 AVENUE,11354,7187628881,Chinese,04/25/2015,Violations were cited in the following area(s).,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",Not Critical,17,,,08/28/2017,Smoke-Free Air Act / Initial Inspection
41224318,CARVEL ICE CREAM,QUEENS,5612,METROPOLITAN AVENUE,11385,7183869300,"Ice Cream, Gelato, Yogurt, Ices",06/18/2016,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,0,A,06/18/2016,08/28/2017,Cycle Inspection / Re-inspection
41651318,APERION PRODUCTION,BROOKLYN,777,KENT AVENUE,11205,3475855596,Jewish/Kosher,08-01-17,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,51,,,08/28/2017,Cycle Inspection / Initial Inspection
41213441,N.Y. ACADEMY OF SCIENCE,MANHATTAN,250,GREENWICH STREET,10007,2122988623,American,10/17/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,26,A,10/17/2016,08/28/2017,Cycle Inspection / Initial Inspection
50001531,HANE SUSHI,MANHATTAN,346,1ST AVENUE,10009,2125989889,Japanese,04/23/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,21,A,04/23/2014,08/28/2017,Cycle Inspection / Initial Inspection
50005331,Vivid Cabaret,MANHATTAN,61,W 37TH ST,10018,2123912702,American,08-04-17,Violations were cited in the following area(s).,16A,"A food containing artificial trans fat, with 0.5 grams or more of trans fat per serving, is being stored, distributed, held for service, used in preparation of a menu item, or served.",Not Critical,11,,,08/28/2017,Trans Fat / Initial Inspection
40402756,THE UNIVERSITY CLUB,MANHATTAN,1,WEST   54 STREET,10019,2125723467,American,01-09-15,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,A,01-09-15,08/28/2017,Cycle Inspection / Re-inspection
50051448,SPICY SEAFOOD,QUEENS,13620,ROOSEVELT AVE,11354,7182869999,Seafood,08/16/2017,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,7,,,08/28/2017,Cycle Inspection / Re-inspection
